Pin  | Xilinx pin name                      | Schematics pin name                  | Schematics net name                  | Schematics net name with index      
T40  | MGTAVTT_LN                           | MGTAVTT_LN                           | P1V2B                                | P1V2B                               
AK7  | MGTHTXP3_226                         | MGTHTXP3_226                         | NC                                   | NC                                  
AK6  | MGTHTXN3_226                         | MGTHTXN3_226                         | NC                                   | NC                                  
T45  | GND                                  | GND                                  | GND                                  | GND                                 
T44  | MGTYRXN1_130                         | MGTYRXN1_130                         | C2T_GT_N                             | C2T_GT_N<23>                        
L34  | IO_L10N_T1U_N7_QBC_AD4N_49           | IO_L10N_T1U_N7_QBC_AD4N_49           | C2T_DN                               | C2T_DN<38>                          
L35  | GND                                  | GND                                  | GND                                  | GND                                 
L32  | IO_L14P_T2L_N2_GC_49                 | IO_L14P_T2L_N2_GC_49                 | C2T_DP                               | C2T_DP<34>                          
L33  | IO_L18P_T2U_N10_AD2P_49              | IO_L18P_T2U_N10_AD2P_49              | C2T_DP                               | C2T_DP<39>                          
L30  | IO_L15N_T2L_N5_AD11N_49              | IO_L15N_T2L_N5_AD11N_49              | C2T_DN                               | C2T_DN<33>                          
L31  | GND                                  | GND                                  | GND                                  | GND                                 
L38  | MGTAVCC_LN                           | MGTAVCC_LN                           | P1V0B                                | P1V0B                               
L39  | GND                                  | GND                                  | GND                                  | GND                                 
BC23 | IO_T1U_N12_94                        | IO_T1U_N12_94                        | NC                                   | NC                                  
BC22 | IO_L9N_T1L_N5_AD12N_94               | IO_L9N_T1L_N5_AD12N_94               | NC                                   | NC                                  
BC21 | IO_L8N_T1L_N3_AD5N_94                | IO_L8N_T1L_N3_AD5N_94                | NC                                   | NC                                  
BC20 | VCCO_94                              | VCCO_94                              | P3V3                                 | P3V3                                
BC27 | IO_L6N_T0U_N11_AD6N_A21_65           | IO_L6N_T0U_N11_AD6N_A21_65           | TRP_MPC                              | TRP_MPC<1>                          
BC26 | IO_L6P_T0U_N10_AD6P_A20_65           | IO_L6P_T0U_N10_AD6P_A20_65           | TRP_MPA                              | TRP_MPA<2>                          
BC25 | GND                                  | GND                                  | GND                                  | GND                                 
BC24 | IO_L3P_T0L_N4_AD15P_94               | IO_L3P_T0L_N4_AD15P_94               | TTCSFP_TXSD_RXRESET                  | TTCSFP_TXSD_RXRESET                 
BC29 | IO_L6P_T0U_N10_AD6P_44               | IO_L6P_T0U_N10_AD6P_44               | TRP_DDR_DQ                           | TRP_DDR_DQ<1>                       
BC28 | IO_T1U_N12_PERSTN1_65                | IO_T1U_N12_PERSTN1_65                | NC                                   | NC                                  
M40  | MGTAVTT_LN                           | MGTAVTT_LN                           | P1V2B                                | P1V2B                               
AU37 | MGTREFCLK1N_125                      | MGTREFCLK1N_125                      | NC                                   | NC                                  
BA7  | IO_L10P_T1U_N6_QBC_AD4P_68           | IO_L10P_T1U_N6_QBC_AD4P_68           | VHDCI_CLK_OUT_P                      | VHDCI_CLK_OUT_P                     
BA4  | MGTRREF_RS                           | MGTRREF_RS                           | UNNAMED_2_RSMD0402_I78_A             | UNNAMED_2_RSMD0402_I78_A            
AU34 | IO_T2U_N12_45                        | IO_T2U_N12_45                        | TRP_DDR_A                            | TRP_DDR_A<0>                        
BA2  | MGTHRXP1_224                         | MGTHRXP1_224                         | QSFP_RX_O_P                          | QSFP_RX_O_P<2>                      
AU32 | IO_L15P_T2L_N4_AD11P_44              | IO_L15P_T2L_N4_AD11P_44              | TRP_DDR_DQ                           | TRP_DDR_DQ<23>                      
AU31 | IO_L17N_T2U_N9_AD10N_44              | IO_L17N_T2U_N9_AD10N_44              | TRP_DDR_DQ                           | TRP_DDR_DQ<17>                      
AU30 | IO_L17P_T2U_N8_AD10P_44              | IO_L17P_T2U_N8_AD10P_44              | TRP_DDR_DQ                           | TRP_DDR_DQ<19>                      
BA8  | IO_L12N_T1U_N11_GC_68                | IO_L12N_T1U_N11_GC_68                | SYS_CLK_N                            | SYS_CLK_N<2>                        
BA9  | IO_L12P_T1U_N10_GC_68                | IO_L12P_T1U_N10_GC_68                | SYS_CLK_P                            | SYS_CLK_P<2>                        
M46  | GND                                  | GND                                  | GND                                  | GND                                 
E45  | GND                                  | GND                                  | GND                                  | GND                                 
R4   | MGTHRXP2_230                         | MGTHRXP2_230                         | A2T_GT_N                             | A2T_GT_N<5>                         
R5   | GND                                  | GND                                  | GND                                  | GND                                 
R6   | MGTAVTT_RN                           | MGTAVTT_RN                           | P1V2B                                | P1V2B                               
R7   | GND                                  | GND                                  | GND                                  | GND                                 
R1   | GND                                  | GND                                  | GND                                  | GND                                 
R2   | GND                                  | GND                                  | GND                                  | GND                                 
R3   | MGTHRXN2_230                         | MGTHRXN2_230                         | A2T_GT_P                             | A2T_GT_P<5>                         
R8   | MGTHTXN2_230                         | MGTHTXN2_230                         | MPTX_N                               | MPTX_N<6>                           
R9   | MGTHTXP2_230                         | MGTHTXP2_230                         | MPTX_P                               | MPTX_P<6>                           
AL10 | MGTAVCC_RS                           | MGTAVCC_RS                           | P1V0B                                | P1V0B                               
AL11 | GND                                  | GND                                  | GND                                  | GND                                 
AL12 | D02_0                                | D02_0                                | NC                                   | NC                                  
AL13 | VREF_67                              | VREF_67                              | NC                                   | NC                                  
AL14 | IO_L24P_T3U_N10_67                   | IO_L24P_T3U_N10_67                   | VHDCI_DATA_OUT_P                     | VHDCI_DATA_OUT_P<1>                 
AL15 | IO_L23P_T3U_N8_67                    | IO_L23P_T3U_N8_67                    | VHDCI_DATA_OUT_P                     | VHDCI_DATA_OUT_P<0>                 
W19  | GND                                  | GND                                  | GND                                  | GND                                 
AL17 | IO_L22P_T3U_N6_DBC_AD0P_66           | IO_L22P_T3U_N6_DBC_AD0P_66           | Z2T_AXI_D                            | Z2T_AXI_D<5>                        
W17  | GND                                  | GND                                  | GND                                  | GND                                 
AL19 | IO_L23P_T3U_N8_66                    | IO_L23P_T3U_N8_66                    | Z2T_AXI_D                            | Z2T_AXI_D<3>                        
W15  | GND                                  | GND                                  | GND                                  | GND                                 
W14  | VCCINT                               | VCCINT                               | P0V95B                               | P0V95B                              
W13  | GND                                  | GND                                  | GND                                  | GND                                 
W12  | CFGBVS_0                             | CFGBVS_0                             | GND                                  | GND                                 
